user_id	login	coalition_id	score	rank	updated_at
215064	mchrispe	52	57	89	2025-12-08T14:29:16.849Z
230784	intramir	53	1557	43	2025-12-08T14:33:21.118Z
214605	cowillem	54	2451	35	2025-12-08T14:34:15.458Z
214601	bertrmar	54	3785	25	2025-12-08T14:34:16.304Z
218623	side-boe	52	7446	8	2025-12-08T14:37:06.022Z
235998	gdupret	53	1274	50	2025-12-08T14:41:40.920Z
159698	aderison	54	9155	14	2025-12-08T14:42:11.238Z
231166	sawijnbe	53	2017	34	2025-12-08T14:44:43.484Z
159819	lboumahd	54	4062	21	2025-12-08T14:45:25.703Z
192218	stdevis	53	1920	36	2025-12-08T14:46:12.517Z
230710	sla-gran	54	2301	36	2025-12-08T14:47:13.646Z
214595	sdemey	54	4163	20	2025-12-08T14:52:00.961Z
196880	mtice	53	2295	31	2025-12-08T14:54:18.759Z
236409	omrakrak	53	126	91	2025-12-08T14:55:55.137Z
236314	amaazouz	54	1213	52	2025-12-08T14:57:44.523Z
236303	fikarolc	54	1990	40	2025-12-08T14:59:40.973Z
165315	alion	53	114	92	2025-12-08T15:00:03.003Z
235989	gwfranco	54	2455	34	2025-12-08T15:00:56.413Z
201736	ade-woel	52	154	85	2025-12-08T15:01:17.686Z
235984	mhummels	52	2270	27	2025-12-08T15:02:30.405Z
201757	pbuyse	52	2565	25	2025-12-08T15:02:55.028Z
145208	llapage	52	283	69	2025-12-08T15:03:21.709Z
201179	cproust	52	95	88	2025-12-08T15:03:45.835Z
236259	vgoemaer	53	1995	35	2025-12-08T15:05:13.204Z
165221	gdero	54	9273	13	2025-12-08T15:07:50.082Z
235978	jhwilmet	53	14955	4	2025-12-08T15:09:00.403Z
201241	phiascha	53	5848	23	2025-12-08T15:11:21.893Z
214985	gmolina-	54	609	71	2025-12-08T15:12:42.746Z
231109	mgad	54	1349	49	2025-12-08T15:12:44.842Z
168962	alexafer	53	15530	3	2025-12-08T15:14:20.454Z
230733	nmertens	52	961	46	2025-12-08T15:15:41.293Z
192033	lspiteri	53	418	80	2025-12-08T15:15:43.110Z
231101	alsereme	53	1335	47	2025-12-08T15:16:12.204Z
236389	kdewez	54	1127	54	2025-12-08T15:22:43.361Z
178047	marlonco	54	612	70	2025-12-08T15:22:46.785Z
201643	cdedessu	54	3107	30	2025-12-08T15:24:30.916Z
214611	ebouali	54	1390	46	2025-12-08T15:24:56.407Z
236254	ldzuba	52	1530	35	2025-12-08T15:27:13.410Z
192113	brcoppie	53	475	73	2025-12-08T15:27:13.961Z
191548	lderidde	53	7399	19	2025-12-08T15:28:42.226Z
178099	jbourgoi	53	456	74	2025-12-08T15:31:02.449Z
178179	matcoppo	52	57	89	2025-12-08T15:31:13.031Z
230824	ovivant	52	245	71	2025-12-08T15:33:54.401Z
236249	jverstra	53	1282	49	2025-12-08T15:35:05.507Z
214968	claffut	52	1498	36	2025-12-08T15:36:12.314Z
214574	marheste	54	1390	46	2025-12-08T15:37:10.024Z
178016	jdebilde	54	2213	37	2025-12-08T15:37:16.650Z
145801	dhoppenb	54	424	82	2025-12-08T15:37:48.353Z
236265	svan-den	54	3040	31	2025-12-08T15:39:20.099Z
218617	jvan-der	54	19	121	2025-12-08T15:39:20.120Z
192300	mflorens	52	2747	22	2025-12-08T15:39:39.537Z
